segment,method,n,accuracy,c2w_risk_n,c2w_count,c2w_rate,both_wrong_n,w2c_count,w2c_rate,oracle_possible
all,4cand_confidence,1000,0.23,338,110,0.3254437869822485,662,2,0.0030211480362537764,0.515
all,4cand_majority,1000,0.328,338,65,0.19230769230769232,662,55,0.08308157099697885,0.515
all,agent_topic_reliability,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.515
all,oracle_candidate,1000,0.515,338,0,0.0,662,177,0.2673716012084592,0.515
all,overall_reliability,1000,0.41,338,71,0.21005917159763313,662,143,0.21601208459214502,0.515
all,pac_math_accuracy_first,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.515
all,pac_math_adaptive_accuracy,1000,0.423,338,70,0.20710059171597633,662,155,0.23413897280966767,0.515
all,pac_math_adaptive_learned,1000,0.423,338,70,0.20710059171597633,662,155,0.23413897280966767,0.515
all,pac_math_adaptive_safety,1000,0.423,338,70,0.20710059171597633,662,155,0.23413897280966767,0.515
all,pac_math_anchor_gate,1000,0.274,338,64,0.1893491124260355,662,0,0.0,0.515
all,pac_math_cross_agent_anchor_gate,1000,0.327,338,66,0.1952662721893491,662,55,0.08308157099697885,0.515
all,pac_math_cross_stage_support,1000,0.279,338,59,0.17455621301775148,662,0,0.0,0.515
all,pac_math_independent_only,1000,0.228,338,110,0.3254437869822485,662,0,0.0,0.515
all,pac_math_pair_topic_stage,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.515
all,pac_math_pair_topic_stage_guard,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.515
all,pac_math_pair_topic_stage_support_sum,1000,0.354,338,61,0.1804733727810651,662,77,0.1163141993957704,0.515
all,pac_math_router_accuracy,1000,0.408,338,68,0.20118343195266272,662,138,0.2084592145015106,0.515
all,pac_math_router_balanced,1000,0.41,338,68,0.20118343195266272,662,140,0.21148036253776434,0.515
all,pac_math_router_safety,1000,0.382,338,57,0.16863905325443787,662,101,0.15256797583081572,0.515
all,pac_math_safety_first,1000,0.386,338,72,0.21301775147928995,662,120,0.18126888217522658,0.515
all,pac_math_stage_gate,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.515
all,pac_math_utility,1000,0.41,338,69,0.20414201183431951,662,141,0.21299093655589124,0.515
all,single_A,1000,0.228,338,110,0.3254437869822485,662,0,0.0,0.515
all,single_B,1000,0.23,338,108,0.31952662721893493,662,0,0.0,0.515
all,stateless_debate,1000,0.386,338,75,0.22189349112426035,662,123,0.18580060422960726,0.515
first_120,4cand_confidence,240,0.2625,90,29,0.32222222222222224,150,2,0.013333333333333334,0.5333333333333333
first_120,4cand_majority,240,0.3333333333333333,90,18,0.2,150,8,0.05333333333333334,0.5333333333333333
first_120,agent_topic_reliability,240,0.43333333333333335,90,20,0.2222222222222222,150,34,0.22666666666666666,0.5333333333333333
first_120,oracle_candidate,240,0.5333333333333333,90,0,0.0,150,38,0.25333333333333335,0.5333333333333333
first_120,overall_reliability,240,0.42916666666666664,90,22,0.24444444444444444,150,35,0.23333333333333334,0.5333333333333333
first_120,pac_math_accuracy_first,240,0.43333333333333335,90,20,0.2222222222222222,150,34,0.22666666666666666,0.5333333333333333
first_120,pac_math_adaptive_accuracy,240,0.4375,90,23,0.25555555555555554,150,38,0.25333333333333335,0.5333333333333333
first_120,pac_math_adaptive_learned,240,0.4375,90,23,0.25555555555555554,150,38,0.25333333333333335,0.5333333333333333
first_120,pac_math_adaptive_safety,240,0.4375,90,23,0.25555555555555554,150,38,0.25333333333333335,0.5333333333333333
first_120,pac_math_anchor_gate,240,0.30416666666666664,90,17,0.18888888888888888,150,0,0.0,0.5333333333333333
first_120,pac_math_cross_agent_anchor_gate,240,0.3333333333333333,90,18,0.2,150,8,0.05333333333333334,0.5333333333333333
first_120,pac_math_cross_stage_support,240,0.30833333333333335,90,16,0.17777777777777778,150,0,0.0,0.5333333333333333
first_120,pac_math_independent_only,240,0.24583333333333332,90,31,0.34444444444444444,150,0,0.0,0.5333333333333333
first_120,pac_math_pair_topic_stage,240,0.43333333333333335,90,20,0.2222222222222222,150,34,0.22666666666666666,0.5333333333333333
first_120,pac_math_pair_topic_stage_guard,240,0.43333333333333335,90,20,0.2222222222222222,150,34,0.22666666666666666,0.5333333333333333
first_120,pac_math_pair_topic_stage_support_sum,240,0.35833333333333334,90,18,0.2,150,14,0.09333333333333334,0.5333333333333333
first_120,pac_math_router_accuracy,240,0.43333333333333335,90,19,0.2111111111111111,150,33,0.22,0.5333333333333333
first_120,pac_math_router_balanced,240,0.43333333333333335,90,20,0.2222222222222222,150,34,0.22666666666666666,0.5333333333333333
first_120,pac_math_router_safety,240,0.3875,90,16,0.17777777777777778,150,19,0.12666666666666668,0.5333333333333333
first_120,pac_math_safety_first,240,0.4,90,18,0.2,150,24,0.16,0.5333333333333333
first_120,pac_math_stage_gate,240,0.43333333333333335,90,20,0.2222222222222222,150,34,0.22666666666666666,0.5333333333333333
first_120,pac_math_utility,240,0.43333333333333335,90,20,0.2222222222222222,150,34,0.22666666666666666,0.5333333333333333
first_120,single_A,240,0.2625,90,27,0.3,150,0,0.0,0.5333333333333333
first_120,single_B,240,0.2791666666666667,90,23,0.25555555555555554,150,0,0.0,0.5333333333333333
first_120,stateless_debate,240,0.3875,90,21,0.23333333333333334,150,24,0.16,0.5333333333333333
after_120,4cand_confidence,760,0.21973684210526315,248,81,0.32661290322580644,512,0,0.0,0.5092105263157894
after_120,4cand_majority,760,0.3263157894736842,248,47,0.18951612903225806,512,47,0.091796875,0.5092105263157894
after_120,agent_topic_reliability,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,oracle_candidate,760,0.5092105263157894,248,0,0.0,512,139,0.271484375,0.5092105263157894
after_120,overall_reliability,760,0.4039473684210526,248,49,0.1975806451612903,512,108,0.2109375,0.5092105263157894
after_120,pac_math_accuracy_first,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,pac_math_adaptive_accuracy,760,0.41842105263157897,248,47,0.18951612903225806,512,117,0.228515625,0.5092105263157894
after_120,pac_math_adaptive_learned,760,0.41842105263157897,248,47,0.18951612903225806,512,117,0.228515625,0.5092105263157894
after_120,pac_math_adaptive_safety,760,0.41842105263157897,248,47,0.18951612903225806,512,117,0.228515625,0.5092105263157894
after_120,pac_math_anchor_gate,760,0.2644736842105263,248,47,0.18951612903225806,512,0,0.0,0.5092105263157894
after_120,pac_math_cross_agent_anchor_gate,760,0.325,248,48,0.1935483870967742,512,47,0.091796875,0.5092105263157894
after_120,pac_math_cross_stage_support,760,0.26973684210526316,248,43,0.17338709677419356,512,0,0.0,0.5092105263157894
after_120,pac_math_independent_only,760,0.22236842105263158,248,79,0.3185483870967742,512,0,0.0,0.5092105263157894
after_120,pac_math_pair_topic_stage,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,pac_math_pair_topic_stage_guard,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,pac_math_pair_topic_stage_support_sum,760,0.3526315789473684,248,43,0.17338709677419356,512,63,0.123046875,0.5092105263157894
after_120,pac_math_router_accuracy,760,0.4,248,49,0.1975806451612903,512,105,0.205078125,0.5092105263157894
after_120,pac_math_router_balanced,760,0.4026315789473684,248,48,0.1935483870967742,512,106,0.20703125,0.5092105263157894
after_120,pac_math_router_safety,760,0.38026315789473686,248,41,0.16532258064516128,512,82,0.16015625,0.5092105263157894
after_120,pac_math_safety_first,760,0.3815789473684211,248,54,0.21774193548387097,512,96,0.1875,0.5092105263157894
after_120,pac_math_stage_gate,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,pac_math_utility,760,0.4026315789473684,248,49,0.1975806451612903,512,107,0.208984375,0.5092105263157894
after_120,single_A,760,0.21710526315789475,248,83,0.3346774193548387,512,0,0.0,0.5092105263157894
after_120,single_B,760,0.21447368421052632,248,85,0.34274193548387094,512,0,0.0,0.5092105263157894
after_120,stateless_debate,760,0.38552631578947366,248,54,0.21774193548387097,512,99,0.193359375,0.5092105263157894
